ID,Name,Team
1630173,Precious Achiuwa,TOR
203500,Steven Adams,MEM
1628389,Bam Adebayo,MIA
1630534,Ochai Agbaji,CLE
1630583,Santi Aldama,MEM
200746,LaMarcus Aldridge,BKN
1629638,Nickeil Alexander-Walker,UTA
1628960,Grayson Allen,MIL
1628386,Jarrett Allen,CLE
1630631,Jose Alvarado,NOP
203937,Kyle Anderson,MEM
203507,Giannis Antetokounmpo,MIL
203648,Thanasis Antetokounmpo,MIL
2546,Carmelo Anthony,LAL
1630175,Cole Anthony,ORL
1628384,OG Anunoby,TOR
1627853,Ryan Arcidiacono,NYK
201571,D.J. Augustin,LAL
1630166,Deni Avdija,WAS
1629028,Deandre Ayton,PHX
1628962,Udoka Azubuike,UTA
1628963,Marvin Bagley III,DET
1631116,Patrick Baldwin Jr.,GSW
1630163,LaMelo Ball,CHA
1628366,Lonzo Ball,CHI
1628964,Mo Bamba,ORL
1631094,Paolo Banchero,ORL
1630217,Desmond Bane,MEM
1630625,Dalano Banton,TOR
203084,Harrison Barnes,SAC
1630567,Scottie Barnes,TOR
1629628,RJ Barrett,NYK
203115,Will Barton,DEN
1629646,Charles Bassey,PHI
1628966,Keita Bates-Diop,SAS
201587,Nicolas Batum,LAC
203145,Kent Bazemore,LAL
1629647,Darius Bazley,OKC
203078,Bradley Beal,WAS
1627736,Malik Beasley,MIN
1630699,MarJon Beauchamp,MIL
202722,Davis Bertans,DAL
1630656,Hugo Besson,MIL
201976,Patrick Beverley,MIN
1630180,Saddiq Bey,DET
203920,Khem Birch,TOR
1629048,Goga Bitadze,IND
202687,Bismack Biyombo,PHX
202357,Nemanja Bjelica,GSW
202339,Eric Bledsoe,POR
1629833,Keljin Blevins,POR
1631205,Buddy Boeheim,DET
203992,Bogdan Bogdanovic,ATL
202711,Bojan Bogdanovic,UTA
1629626,Bol Bol,ORL
1630195,Leandro Bolmaro,MIN
1629067,Isaac Bonga,TOR
1626164,Devin Booker,PHX
1630527,Brandon Boston,LAC
1628449,Chris Boucher,TOR
1630547,James Bouknight,CHA
202340,Avery Bradley,LAL
1628396,Tony Bradley,CHI
1631103,Malaki Branham,SAS
1631128,Christian Braun,DEN
1629649,Ignas Brazdeikis,ORL
1628969,Mikal Bridges,PHX
1628970,Miles Bridges,CHA
1629052,Oshae Brissett,IND
1627763,Malcolm Brogdon,IND
1629717,Armoni Brooks,TOR
1628415,Dillon Brooks,MEM
1628971,Bruce Brown,BKN
1627759,Jaylen Brown,BOS
1631112,Kendall Brown,IND
1629650,Moses Brown,CLE
1628425,Sterling Brown,HOU
1630535,Greg Brown III,POR
1629718,Charlie Brown Jr.,PHI
1630602,Chaundee Brown Jr.,ATL
1628972,Troy Brown Jr.,LAL
1628973,Jalen Brunson,DAL
1628418,Thomas Bryant,WAS
203493,Reggie Bullock,DAL
203504,Trey Burke,HOU
202692,Alec Burks,NYK
1630215,Jared Butler,UTA
202710,Jimmy Butler,MIA
1629719,Devontae Cacok,SAS
203484,Kentavious Caldwell-Pope,WAS
1630267,Facundo Campazzo,DEN
1628427,Vlatko Cancar,DEN
1629962,Devin Cannady,ORL
203991,Clint Capela,ATL
1630176,Vernon Carey Jr.,WAS
1628975,Jevon Carter,MIL
1628976,Wendell Carter Jr.,ORL
1627936,Alex Caruso,CHI
1630577,Julian Champagnie,PHI
1630551,Justin Champagnie,TOR
1631113,Kennedy Chandler,MEM
1629185,Chris Chiozza,GSW
1627737,Marquese Chriss,HOU
1631108,Max Christie,LAL
1630528,Josh Christopher,HOU
1629109,Gary Clark,NOP
1629634,Brandon Clarke,MEM
203903,Jordan Clarkson,UTA
1629651,Nic Claxton,BKN
1629599,Amir Coffey,LAC
1628381,John Collins,ATL
1628380,Zach Collins,SAS
201144,Mike Conley,UTA
1626192,Pat Connaughton,MIL
1629076,Tyler Cook,CHI
1630536,Sharife Cooper,ATL
202326,DeMarcus Cousins,DEN
203496,Robert Covington,LAC
1628470,Torrey Craig,PHX
203109,Jae Crowder,PHX
1629633,Jarrett Culver,MEM
1630595,Cade Cunningham,DET
203552,Seth Curry,BKN
201939,Stephen Curry,GSW
1630700,Dyson Daniels,NOP
203076,Anthony Davis,LAL
202334,Ed Davis,CLE
1631098,Johnny Davis,WAS
1629056,Terence Davis,SAC
1631120,JD Davison,BOS
201942,DeMar DeRozan,CHI
203473,Dewayne Dedmon,MIA
1628978,Donte DiVincenzo,SAC
1631217,Moussa Diabate,LAC
1628977,Hamidou Diallo,DET
203476,Gorgui Dieng,ATL
1631172,Ousmane Dieng,OKC
203915,Spencer Dinwiddie,DAL
1631215,Khalifa Diop,CLE
1629029,Luka Doncic,DAL
1629652,Luguentz Dort,OKC
1630245,Ayo Dosunmu,CHI
201609,Goran Dragic,BKN
203083,Andre Drummond,BKN
1630537,Chris Duarte,IND
1630561,David Duke Jr.,BKN
201142,Kevin Durant,BKN
1631105,Jalen Duren,NYK
1631106,Tari Eason,HOU
1630162,Anthony Edwards,MIN
1629035,Carsen Edwards,DET
1630556,Kessler Edwards,BKN
1629604,CJ Elleby,POR
201961,Wayne Ellington,LAL
1631165,Keon Ellis,SAC
203954,Joel Embiid,PHI
202324,Derrick Favors,OKC
1628981,Bruno Fernando,HOU
1627827,Dorian Finney-Smith,DAL
1630238,Malik Fitts,BOS
1630201,Malachi Flynn,TOR
1627854,Bryn Forbes,DEN
1630235,Trent Forrest,UTA
203095,Evan Fournier,NYK
1628368,De'Aaron Fox,SAC
1628365,Markelle Fultz,ORL
1629117,Wenyen Gabriel,LAL
1629655,Daniel Gafford,WAS
201568,Danilo Gallinari,SAS
1629636,Darius Garland,CLE
1630586,Usman Garuba,HOU
1630568,Luka Garza,DET
200752,Rudy Gay,UTA
202331,Paul George,LAC
201959,Taj Gibson,NYK
1630581,Josh Giddey,OKC
1628983,Shai Gilgeous-Alexander,OKC
1630264,Anthony Gill,WAS
1631221,Collin Gillespie,DEN
203497,Rudy Gobert,UTA
1629164,Brandon Goodwin,CLE
203932,Aaron Gordon,DEN
201569,Eric Gordon,HOU
1628984,Devonte' Graham,NOP
203924,Jerami Grant,DET
1631260,A.J. Green,MIL
201980,Danny Green,MEM
203110,Draymond Green,GSW
203210,JaMychal Green,OKC
1630224,Jalen Green,HOU
1629750,Javonte Green,CHI
201145,Jeff Green,DEN
1630182,Josh Green,DAL
1631100,AJ Griffin,ATL
201933,Blake Griffin,BKN
1629656,Quentin Grimes,NYK
1629060,Rui Hachimura,WAS
1630169,Tyrese Haliburton,IND
1630181,R.J. Hampton,ORL
203501,Tim Hardaway Jr.,DAL
201935,James Harden,PHI
1630702,Jaden Hardy,DAL
203090,Maurice Harkless,SAC
1629607,Jared Harper,NOP
1626149,Montrezl Harrell,CHA
203914,Gary Harris,ORL
203925,Joe Harris,BKN
202699,Tobias Harris,PHI
1628404,Josh Hart,POR
1628392,Isaiah Hartenstein,LAC
2617,Udonis Haslem,MIA
1630573,Sam Hauser,BOS
1629637,Jaxson Hayes,NOP
1630165,Killian Hayes,DET
202330,Gordon Hayward,CHA
1626195,Willy Hernangomez,NOP
1629639,Tyler Herro,MIA
1627741,Buddy Hield,IND
1629312,Haywood Highsmith,MIA
201588,George Hill,MIL
1630792,Malcolm Hill,CHI
1630207,Nate Hinton,IND
1628988,Aaron Holiday,PHX
201950,Jrue Holiday,MIL
203200,Justin Holiday,SAC
1626158,Richaun Holmes,SAC
1631096,Chet Holmgren,OKC
203918,Rodney Hood,LAC
201143,Al Horford,BOS
