ID,Slug,Name,Team
1631260,aj-green,A.J. Green,MIL
1631100,aj-griffin,AJ Griffin,ATL
203932,aaron-gordon,Aaron Gordon,DEN
1628988,aaron-holiday,Aaron Holiday,ATL
1630174,aaron-nesmith,Aaron Nesmith,BOS
1630598,aaron-wiggins,Aaron Wiggins,OKC
1629678,admiral-schofield,Admiral Schofield,ORL
201143,al-horford,Al Horford,BOS
202692,alec-burks,Alec Burks,NYK
1630197,alekesej-pokusevski,Alekesej Pokusevski,OKC
1627936,alex-caruso,Alex Caruso,CHI
203458,alex-len,Alex Len,SAC
1631214,alondes-williams,Alondes Williams,BKN
1630578,alperen-sengun,Alperen Sengun,HOU
1629599,amir-coffey,Amir Coffey,LAC
203083,andre-drummond,Andre Drummond,CHI
2738,andre-iguodala,Andre Iguodala,GSW
1629614,andrew-nembhard,Andrew Nembhard,IND
203952,andrew-wiggins,Andrew Wiggins,GSW
1629014,anfernee-simons,Anfernee Simons,POR
203076,anthony-davis,Anthony Davis,LAL
1630162,anthony-edwards,Anthony Edwards,MIN
1630264,anthony-gill,Anthony Gill,WAS
1630237,anthony-lamb,Anthony Lamb,HOU
1629717,armoni-brooks,Armoni Brooks,TOR
1629083,arnoldas-kulboka,Arnoldas Kulboka,CHA
1630559,austin-reaves,Austin Reaves,LAL
203085,austin-rivers,Austin Rivers,DEN
202340,avery-bradley,Avery Bradley,LAL
1630245,ayo-dosunmu,Ayo Dosunmu,CHI
1628389,bam-adebayo,Bam Adebayo,MIA
203463,ben-mclemore,Ben McLemore,POR
1627732,ben-simmons,Ben Simmons,BKN
1631097,bennedict-mathurin,Bennedict Mathurin,IND
202687,bismack-biyombo,Bismack Biyombo,PHX
201933,blake-griffin,Blake Griffin,BKN
1631104,blake-wesley,Blake Wesley,SAS
1626246,boban-marjanovic,Boban Marjanovic,HOU
1626171,bobby-portis,Bobby Portis,MIL
203992,bogdan-bogdanovic,Bogdan Bogdanovic,ATL
202711,bojan-bogdanovic,Bojan Bogdanovic,UTA
1629626,bol-bol,Bol Bol,ORL
1630538,bones-hyland,Bones Hyland,DEN
203078,bradley-beal,Bradley Beal,WAS
1630527,brandon-boston,Brandon Boston,LAC
1629634,brandon-clarke,Brandon Clarke,MEM
1629164,brandon-goodwin,Brandon Goodwin,CLE
1627742,brandon-ingram,Brandon Ingram,NOP
1630314,brandon-williams,Brandon Williams,POR
1630296,braxton-key,Braxton Key,DET
1630271,brodric-thomas,Brodric Thomas,BOS
201572,brook-lopez,Brook Lopez,MIL
1628971,bruce-brown,Bruce Brown,BKN
1628981,bruno-fernando,Bruno Fernando,HOU
1631121,bryce-mcgowens,Bryce McGowens,CHA
1627854,bryn-forbes,Bryn Forbes,DEN
1631205,buddy-boeheim,Buddy Boeheim,DET
1627741,buddy-hield,Buddy Hield,IND
1629604,cj-elleby,CJ Elleby,POR
203468,cj-mccollum,CJ McCollum,NOP
1630595,cade-cunningham,Cade Cunningham,DET
1631216,caleb-houstan,Caleb Houstan,ORL
1628997,caleb-martin,Caleb Martin,MIA
1629629,cam-reddish,Cam Reddish,NYK
1630560,cam-thomas,Cam Thomas,BKN
1629661,cameron-johnson,Cameron Johnson,PHX
1626166,cameron-payne,Cameron Payne,PHX
1627747,caris-levert,Caris LeVert,CLE
2546,carmelo-anthony,Carmelo Anthony,LAL
1629035,carsen-edwards,Carsen Edwards,DET
1630216,cassius-winston,Cassius Winston,WAS
1626224,cedi-osman,Cedi Osman,CLE
1629646,charles-bassey,Charles Bassey,PHI
1629718,charlie-brown,Charlie Brown Jr.,PHI
1630602,chaundee-brown,Chaundee Brown Jr.,ATL
1631096,chet-holmgren,Chet Holmgren,OKC
1629002,chimezie-metu,Chimezie Metu,SAC
1628449,chris-boucher,Chris Boucher,TOR
1629185,chris-chiozza,Chris Chiozza,GSW
1630537,chris-duarte,Chris Duarte,IND
101108,chris-paul,Chris Paul,PHX
1631128,christian-braun,Christian Braun,DEN
1631132,christian-koloko,Christian Koloko,TOR
1626174,christian-wood,Christian Wood,DAL
1629643,chuma-okeke,Chuma Okeke,ORL
203991,clint-capela,Clint Capela,ATL
1629632,coby-white,Coby White,CHI
1628998,cody-martin,Cody Martin,CHA
1630175,cole-anthony,Cole Anthony,ORL
1631306,cole-swider,Cole Swider,LAL
1631221,collin-gillespie,Collin Gillespie,DEN
1629012,collin-sexton,Collin Sexton,CLE
1630557,corey-kispert,Corey Kispert,WAS
202709,cory-joseph,Cory Joseph,DET
1626156,dangelo-russell,D'Angelo Russell,MIN
201571,dj-augustin,D.J. Augustin,LAL
1630597,dj-stewart,DJ Stewart,SAS
1630227,daishen-nix,Daishen Nix,HOU
1630625,dalano-banton,Dalano Banton,TOR
1631207,dalen-terry,Dalen Terry,CHI
1627745,damian-jones,Damian Jones,LAL
203081,damian-lillard,Damian Lillard,POR
1627814,damion-lee,Damion Lee,PHX
1629655,daniel-gafford,Daniel Gafford,WAS
1628464,daniel-theis,Daniel Theis,BOS
